citizen_severity,nearby_reports,disaster_type,population_density,distance_critical_infra,alert_intensity,people_affected,historical_risk,severity_score,severity_level
High,26,Earthquake,9985,0.12,84,189,91,88.25,Critical
High,24,Lightning,6608,2.69,77,111,57,67.69,Severe
High,22,Medical Emergency,6555,5.23,55,63,48,54.8,High
Medium,21,Cyclone,6342,4.52,69,79,70,62.04,High
High,27,Landslide,8988,1.39,89,135,99,86.2,Critical
High,21,Cyclone,7017,1.55,81,117,89,75.39,Severe
High,26,Flood,8405,1.41,88,180,73,84.14,Critical
Medium,5,Flood,2746,8.85,34,15,24,29.9,Moderate
High,28,Cyclone,6346,3.93,81,118,78,77.55,Severe
Low,8,Heatwave,1939,5.24,24,19,30,25.53,Moderate
Medium,5,Cyclone,3889,3.22,55,61,22,44.02,Medium
Low,0,Lightning,1457,8.76,1,15,8,16.46,Low
High,12,Heatwave,5300,4.57,69,45,68,56.37,High
High,25,Earthquake,8540,1.56,82,175,87,86.8,Critical
High,24,Flood,9296,1.04,88,174,84,85.74,Critical
High,24,Heatwave,9084,1.25,96,185,73,84.48,Critical
Medium,14,Earthquake,5619,4.79,71,57,70,59.43,High
Low,0,Urban Fire,1300,9.32,19,11,18,15.19,Low
Medium,11,Landslide,3963,4.65,31,57,35,41.0,Medium
High,30,Urban Fire,9749,1.61,81,177,88,86.18,Critical
Low,7,Landslide,2856,6.44,17,20,13,25.5,Moderate
High,19,Medical Emergency,4537,5.53,68,89,61,59.22,High
Medium,14,Earthquake,5849,6.27,33,46,58,49.3,Medium
Medium,12,Cyclone,4538,3.6,50,15,22,45.42,Medium
High,17,Landslide,7570,3.18,72,112,85,72.52,Severe
High,15,Forest Fire,7155,1.07,68,88,68,67.18,Severe
Low,1,Earthquake,231,9.24,13,0,7,14.44,Low
High,29,Forest Fire,9917,0.73,84,151,86,86.86,Critical
Medium,13,Urban Fire,6362,5.03,75,112,68,56.56,High
Low,1,Lightning,324,6.03,9,6,24,16.17,Low
High,29,Flood,9736,1.06,84,158,99,86.27,Critical
Low,3,Heatwave,1319,8.72,31,8,13,20.62,Moderate
Medium,18,Cyclone,6077,2.42,65,55,48,60.29,High
Low,0,Cyclone,1709,8.29,15,4,1,16.68,Low
Low,8,Lightning,1186,5.67,32,30,30,27.19,Moderate
High,16,Flood,6283,1.46,67,118,83,71.57,Severe
Low,0,Medical Emergency,2421,6.67,5,8,24,14.95,Low
Medium,5,Urban Fire,2238,4.88,26,30,11,33.68,Moderate
High,30,Lightning,8720,1.53,93,165,80,86.55,Critical
High,26,Medical Emergency,8839,0.52,85,198,76,84.95,Critical
Low,9,Urban Fire,1811,6.44,35,23,16,29.05,Moderate
Low,5,Medical Emergency,2110,7.79,0,2,9,14.07,Low
Low,3,Medical Emergency,2447,7.79,15,14,10,16.03,Low
Medium,5,Landslide,4853,3.51,38,38,31,39.58,Medium
Low,4,Forest Fire,1566,8.81,9,5,1,16.98,Low
Low,0,Urban Fire,428,9.41,2,2,21,15.11,Low
High,21,Earthquake,8162,3.04,74,169,67,78.54,Severe
Low,9,Landslide,2448,5.09,33,13,15,33.27,Moderate
Low,4,Flood,1732,7.85,16,18,19,20.9,Moderate
Medium,14,Cyclone,4942,3.72,45,54,25,48.76,Medium
High,23,Flood,9870,0.78,85,189,87,84.06,Critical
Medium,12,Flood,3344,3.57,38,48,48,44.5,Medium
High,20,Earthquake,8794,1.95,79,113,57,75.66,Severe
Medium,13,Cyclone,7656,4.7,51,96,38,56.48,High
Medium,15,Heatwave,4441,6.58,60,63,56,48.42,Medium
Low,4,Medical Emergency,751,8.97,15,14,8,16.72,Low
Medium,17,Forest Fire,5621,2.87,58,88,71,56.08,High
High,27,Earthquake,7079,3.98,72,165,82,76.72,Severe
Medium,6,Flood,5964,5.98,38,52,42,41.19,Medium
High,17,Earthquake,6441,3.27,69,99,77,68.15,Severe
High,14,Heatwave,7052,5.26,66,75,47,58.09,High
Medium,8,Flood,2558,3.69,31,34,26,37.89,Medium
Medium,5,Urban Fire,1876,5.88,32,34,33,31.84,Moderate
High,30,Urban Fire,9558,0.39,91,144,98,85.87,Critical
Low,1,Landslide,1113,9.05,21,12,15,16.22,Low
Low,4,Landslide,469,9.16,0,8,17,13.43,Low
High,18,Medical Emergency,6468,1.47,66,149,64,70.74,Severe
Low,0,Urban Fire,1443,9.66,7,2,20,16.47,Low
Medium,11,Forest Fire,4326,4.43,40,18,58,43.92,Medium
Low,2,Medical Emergency,668,9.04,15,14,19,11.94,Low
Medium,13,Forest Fire,3066,6.93,37,49,27,39.7,Medium
Low,9,Cyclone,1723,6.11,19,33,37,30.94,Moderate
Low,10,Lightning,3067,5.69,20,22,29,29.37,Moderate
High,22,Cyclone,8088,1.99,66,118,62,71.25,Severe
Low,4,Medical Emergency,1910,9.04,6,8,17,13.25,Low
Low,1,Landslide,381,9.52,11,9,5,14.04,Low
Medium,4,Heatwave,4145,5.74,33,9,26,29.96,Moderate
Low,4,Medical Emergency,349,6.35,12,4,13,15.32,Low
High,28,Cyclone,9834,1.11,96,135,80,86.79,Critical
High,29,Lightning,9291,0.95,93,167,94,86.93,Critical
High,16,Lightning,6037,2.38,79,120,64,69.06,Severe
Medium,6,Forest Fire,4245,4.35,56,62,45,43.96,Medium
Low,5,Landslide,2689,8.78,31,22,10,25.59,Moderate
High,16,Heatwave,6510,2.36,86,150,81,69.06,Severe
Low,0,Urban Fire,567,8.12,6,11,11,16.45,Low
Medium,5,Flood,1291,5.56,25,22,24,28.29,Moderate
High,25,Forest Fire,7963,3.86,73,95,81,71.44,Severe
High,16,Earthquake,6529,2.91,62,68,66,62.63,High
Medium,10,Forest Fire,4936,6.38,42,22,34,41.66,Medium
Medium,5,Cyclone,5127,5.57,50,43,28,38.74,Medium
High,18,Lightning,6430,3.24,68,102,88,67.98,Severe
High,23,Urban Fire,7060,1.56,72,117,72,73.16,Severe
Low,0,Medical Emergency,383,9.91,17,4,4,11.88,Low
Medium,14,Flood,3316,3.74,42,33,55,45.84,Medium
Medium,8,Flood,3968,4.18,50,20,21,40.6,Medium
High,29,Earthquake,9726,0.81,99,143,70,86.4,Critical
High,22,Landslide,9714,1.38,90,151,98,86.43,Critical
Medium,3,Medical Emergency,3530,6.26,37,24,25,28.98,Moderate
Medium,5,Forest Fire,3108,3.22,35,17,50,37.17,Medium
Low,2,Medical Emergency,1571,9.0,5,12,0,11.25,Low
High,16,Urban Fire,6496,4.94,69,59,65,56.67,High
Medium,9,Lightning,3273,6.43,58,68,50,46.01,Medium
Medium,5,Forest Fire,2862,8.65,33,5,18,26.14,Moderate
Low,5,Earthquake,2090,7.88,25,26,39,28.7,Moderate
High,27,Heatwave,9024,1.54,87,180,82,85.13,Critical
High,24,Landslide,7136,0.95,84,134,59,77.02,Severe
Low,3,Cyclone,1314,9.59,6,10,16,14.74,Low
High,28,Earthquake,6463,2.52,88,115,64,75.04,Severe
High,25,Heatwave,6753,3.41,67,134,76,73.6,Severe
High,17,Medical Emergency,4279,2.33,66,71,63,56.19,High
Low,5,Medical Emergency,2215,9.47,1,5,2,12.52,Low
High,20,Landslide,9186,1.46,90,108,72,73.75,Severe
Medium,10,Forest Fire,7363,4.55,48,75,71,52.31,High
High,29,Lightning,8470,1.18,84,198,77,86.93,Critical
High,21,Earthquake,7996,0.52,89,164,71,80.74,Severe
High,28,Cyclone,9520,1.49,94,175,75,85.62,Critical
Medium,5,Lightning,4545,6.07,60,44,40,39.09,Medium
Medium,6,Earthquake,4100,6.59,39,19,26,35.46,Medium
Low,9,Urban Fire,1102,8.0,31,9,16,23.42,Moderate
Medium,6,Flood,4727,4.29,40,67,39,42.36,Medium
Medium,21,Earthquake,5611,4.79,46,70,45,53.73,High
Low,3,Landslide,2398,5.98,33,24,40,26.41,Moderate
Low,1,Medical Emergency,1720,9.54,20,14,4,13.21,Low
High,29,Medical Emergency,9504,0.77,97,162,91,85.67,Critical
Low,2,Landslide,922,7.92,5,12,10,15.94,Low
High,23,Earthquake,8183,1.33,99,182,73,85.53,Critical
High,11,Cyclone,5710,3.92,54,112,63,62.23,High
Medium,9,Urban Fire,1320,6.62,34,7,17,30.72,Moderate
High,27,Landslide,6503,0.64,83,106,65,73.73,Severe
Medium,21,Earthquake,4521,3.04,63,69,68,61.57,High
Medium,12,Earthquake,4353,4.98,32,50,20,44.51,Medium
Low,4,Medical Emergency,887,9.83,8,9,7,15.51,Low
High,29,Landslide,9367,0.62,92,143,84,85.63,Critical
Medium,9,Heatwave,5597,6.16,50,40,42,41.94,Medium
High,21,Earthquake,8379,3.0,81,153,69,78.95,Severe
Low,7,Earthquake,1594,6.98,19,31,25,29.57,Moderate
Low,1,Flood,244,8.21,22,13,7,16.84,Low
High,20,Landslide,9036,3.34,88,155,88,79.15,Severe
High,25,Forest Fire,8188,1.22,87,182,93,85.61,Critical
High,26,Landslide,8140,3.69,76,157,89,78.51,Severe
High,22,Heatwave,8817,2.59,70,163,79,77.16,Severe
Medium,7,Medical Emergency,3116,6.5,46,55,21,34.03,Medium
High,28,Lightning,7735,1.62,76,166,63,78.92,Severe
High,16,Forest Fire,7885,3.56,62,89,47,62.33,High
High,22,Flood,8732,1.05,96,156,81,85.03,Critical
High,30,Cyclone,9960,1.56,82,147,89,88.43,Critical
Medium,14,Medical Emergency,5928,4.85,30,61,47,45.64,Medium
High,30,Urban Fire,8903,0.7,86,167,99,85.82,Critical
Low,3,Lightning,2341,6.47,36,6,12,22.63,Moderate
Low,4,Medical Emergency,1272,9.1,7,11,7,15.01,Low
High,26,Cyclone,7483,3.04,83,93,64,72.87,Severe
Medium,15,Forest Fire,3724,5.78,58,21,60,46.94,Medium
High,27,Medical Emergency,8361,1.07,98,165,100,85.74,Critical
High,17,Forest Fire,6652,4.74,49,103,68,61.57,High
Low,1,Medical Emergency,968,7.42,8,10,8,16.78,Low
Medium,13,Flood,4205,6.68,37,64,51,45.1,Medium
Low,0,Heatwave,1020,8.15,5,14,18,16.47,Low
Low,0,Urban Fire,349,8.99,1,1,18,12.75,Low
Medium,11,Earthquake,2818,3.08,45,63,47,45.56,Medium
Low,5,Urban Fire,1094,8.29,5,12,5,15.29,Low
Low,2,Forest Fire,4333,5.27,35,8,24,30.67,Moderate
Medium,6,Medical Emergency,5614,6.07,50,27,31,38.05,Medium
Low,2,Urban Fire,1194,9.28,9,9,18,16.8,Low
Medium,10,Flood,2618,3.32,56,60,50,46.88,Medium
Medium,7,Earthquake,2557,5.87,43,64,49,44.54,Medium
High,19,Medical Emergency,8789,1.02,72,157,65,70.49,Severe
Low,1,Landslide,1378,6.52,12,9,5,16.75,Low
Medium,3,Landslide,3762,6.29,36,18,38,32.19,Moderate
High,15,Landslide,7759,3.92,88,81,82,68.02,Severe
Medium,9,Heatwave,5123,6.34,45,22,38,38.47,Medium
Medium,15,Urban Fire,3220,5.58,31,61,51,45.16,Medium
Low,0,Heatwave,983,9.34,17,13,3,15.73,Low
Low,4,Forest Fire,634,7.36,5,10,1,14.19,Low
High,18,Cyclone,8185,1.33,66,161,64,77.37,Severe
High,17,Heatwave,6661,0.74,83,126,77,69.37,Severe
High,28,Forest Fire,8047,2.88,69,156,73,75.19,Severe
High,11,Forest Fire,4875,2.42,55,62,35,53.25,High
Medium,13,Urban Fire,3398,4.86,50,57,33,43.33,Medium
Low,2,Lightning,2009,8.13,11,9,8,16.73,Low
Low,3,Flood,809,8.4,0,7,8,16.37,Low
High,27,Earthquake,9289,0.78,80,150,83,85.1,Critical
Low,5,Lightning,665,9.42,21,3,23,16.57,Low
Low,0,Forest Fire,1285,9.94,7,3,12,12.1,Low
Medium,9,Forest Fire,2845,4.66,35,40,44,42.36,Medium
High,23,Urban Fire,9842,0.93,91,152,70,84.28,Critical
Medium,19,Cyclone,5905,4.05,55,94,63,58.4,High
High,23,Earthquake,9021,0.54,99,199,80,86.39,Critical
High,23,Earthquake,8156,0.58,97,156,85,86.49,Critical
Medium,2,Heatwave,3616,8.46,25,11,16,24.31,Moderate
High,27,Cyclone,8887,0.29,96,170,76,89.44,Critical
Medium,8,Heatwave,2814,7.73,35,34,33,31.61,Moderate
High,22,Cyclone,7188,1.06,86,139,60,79.29,Severe
Low,4,Urban Fire,904,9.1,6,9,14,14.48,Low
Medium,8,Flood,1753,8.27,19,28,17,29.72,Moderate
High,17,Heatwave,9238,0.68,72,106,89,70.61,Severe
Medium,14,Medical Emergency,5791,2.32,70,101,54,54.35,High
High,15,Heatwave,6068,2.69,53,87,61,58.44,High
High,13,Earthquake,7213,3.88,66,118,39,62.18,High
High,27,Urban Fire,8920,1.68,85,134,100,84.33,Critical
High,25,Forest Fire,9168,1.67,96,175,81,85.34,Critical
Medium,7,Lightning,4976,5.72,34,34,59,40.75,Medium
Low,5,Heatwave,1020,9.23,4,0,1,12.2,Low
High,21,Cyclone,8851,3.88,76,86,61,70.94,Severe
High,10,Cyclone,7328,3.86,71,119,53,64.5,High
Low,2,Medical Emergency,1845,6.67,14,11,14,15.65,Low
High,30,Lightning,8781,0.64,93,166,92,87.82,Critical
High,28,Lightning,9585,0.61,98,181,88,85.75,Critical
Low,5,Forest Fire,3807,5.87,39,28,37,29.91,Moderate
High,26,Lightning,8863,1.58,70,142,55,73.56,Severe
High,19,Earthquake,9253,2.58,77,141,82,76.68,Severe
Medium,22,Flood,4253,5.68,59,47,54,52.81,High
High,28,Urban Fire,8569,1.19,99,170,73,84.53,Critical
Medium,10,Forest Fire,4981,5.01,63,70,66,50.45,High
High,28,Heatwave,9474,1.85,88,196,80,85.96,Critical
High,22,Medical Emergency,7275,5.88,50,119,48,58.64,High
Medium,10,Earthquake,5496,4.92,31,23,55,42.25,Medium
High,30,Urban Fire,9768,0.47,85,188,81,89.89,Critical
High,24,Urban Fire,9164,0.5,93,174,90,87.59,Critical
Medium,14,Lightning,6779,2.68,64,81,46,53.23,High
High,15,Heatwave,5204,3.94,70,58,44,57.6,High
Low,2,Earthquake,1755,9.46,0,14,13,15.1,Low
Low,2,Lightning,2129,7.15,12,1,14,16.49,Low
High,21,Urban Fire,9171,1.08,77,107,77,73.67,Severe
High,21,Landslide,6036,0.85,80,105,60,71.65,Severe
Low,5,Medical Emergency,1209,7.23,7,3,23,15.73,Low
Low,0,Flood,1359,8.38,18,9,14,15.97,Low
Low,0,Forest Fire,453,9.7,3,14,19,14.11,Low
High,17,Medical Emergency,6997,5.89,71,60,44,55.83,High
High,26,Earthquake,8353,0.94,88,155,92,85.74,Critical
Low,3,Heatwave,2184,8.82,13,15,15,16.6,Low
High,20,Lightning,9036,2.26,81,99,56,71.61,Severe
Low,5,Flood,197,7.84,10,1,2,14.7,Low
High,27,Forest Fire,6915,1.41,74,91,62,70.07,Severe
Medium,9,Urban Fire,4075,4.24,60,59,43,49.09,Medium
Low,5,Lightning,2186,7.93,19,9,20,19.18,Moderate
Medium,9,Flood,5588,5.15,53,21,33,46.01,Medium
High,11,Earthquake,6775,2.22,46,77,59,59.79,High
Medium,2,Forest Fire,3124,6.69,38,6,27,30.13,Moderate
High,27,Earthquake,9945,0.89,99,140,98,89.56,Critical
High,26,Cyclone,9318,1.59,98,130,99,84.96,Critical
High,18,Forest Fire,4731,2.78,50,73,41,54.36,High
Low,5,Cyclone,227,9.8,6,0,19,14.15,Low
Low,3,Earthquake,489,9.4,1,0,4,16.26,Low
High,20,Cyclone,5859,4.07,63,64,41,58.17,High
Medium,6,Heatwave,3218,5.84,15,29,30,31.17,Moderate
Medium,10,Forest Fire,5630,3.18,35,36,24,41.15,Medium
High,23,Heatwave,9110,3.49,82,124,78,73.95,Severe
Low,3,Flood,421,8.0,11,1,3,16.19,Low
High,21,Heatwave,7701,4.74,49,85,41,61.43,High
High,23,Earthquake,8810,0.51,83,167,75,86.19,Critical
Medium,8,Urban Fire,5140,4.34,48,36,40,43.6,Medium
High,30,Medical Emergency,9521,0.29,81,185,70,85.52,Critical
High,22,Forest Fire,8421,0.82,93,198,71,84.57,Critical
Low,2,Heatwave,1926,9.53,1,7,20,13.29,Low
High,22,Heatwave,9535,0.33,92,181,74,85.15,Critical
Medium,19,Forest Fire,7704,4.29,65,105,51,59.71,High
High,25,Earthquake,8793,0.34,84,181,94,86.8,Critical
Medium,11,Heatwave,4371,5.4,39,58,48,40.97,Medium
Medium,7,Forest Fire,2613,3.98,56,34,49,42.27,Medium
Low,3,Earthquake,3892,6.25,26,7,26,30.38,Moderate
Low,5,Landslide,4415,5.69,36,20,39,32.94,Moderate
High,27,Flood,9238,1.13,80,178,72,85.73,Critical
High,28,Medical Emergency,7955,1.6,85,131,79,75.45,Severe
High,21,Cyclone,7121,3.97,69,134,56,70.39,Severe
Medium,13,Earthquake,2790,6.58,53,43,57,46.15,Medium
High,15,Medical Emergency,5298,3.09,45,62,63,52.28,High
High,25,Cyclone,6971,0.63,69,118,68,78.1,Severe
Low,3,Medical Emergency,2055,8.6,24,9,10,16.59,Low
Low,3,Medical Emergency,102,9.97,13,6,22,15.44,Low
High,19,Landslide,8087,2.98,85,168,78,78.16,Severe
Medium,6,Cyclone,2529,3.72,32,60,57,44.45,Medium
Medium,5,Earthquake,5532,3.21,47,26,30,46.47,Medium
Low,8,Flood,3687,8.67,20,15,12,25.57,Moderate
Medium,10,Lightning,4027,3.05,41,37,39,46.1,Medium
High,16,Flood,5700,3.0,73,119,62,65.83,High
Low,2,Forest Fire,3685,6.46,17,19,35,26.78,Moderate
Medium,6,Medical Emergency,5511,3.76,31,27,21,38.04,Medium
Low,3,Medical Emergency,1569,9.1,15,3,5,15.4,Low
Low,2,Urban Fire,4273,6.12,32,6,26,26.77,Moderate
Medium,10,Heatwave,4140,3.22,60,56,25,44.82,Medium
High,22,Landslide,9270,2.14,74,115,82,75.99,Severe
High,16,Cyclone,7430,1.76,89,97,73,71.75,Severe
Medium,16,Cyclone,7774,2.5,74,112,45,62.03,High
Medium,10,Lightning,3658,6.61,38,54,36,39.12,Medium
High,12,Earthquake,6750,5.05,66,74,44,58.68,High
Low,0,Cyclone,352,9.32,7,4,6,15.79,Low
Medium,9,Forest Fire,2592,3.33,57,43,25,45.83,Medium
Medium,15,Forest Fire,2616,3.48,38,46,24,43.7,Medium
Low,6,Landslide,1359,4.25,28,10,15,28.86,Moderate
Medium,17,Earthquake,7377,3.6,70,71,68,61.12,High
High,30,Landslide,8686,0.42,98,185,77,89.66,Critical
Medium,7,Medical Emergency,4947,5.09,40,26,39,34.84,Medium
High,24,Earthquake,7547,1.84,68,81,57,69.47,Severe
Medium,14,Lightning,5899,3.22,54,88,70,55.91,High
Medium,21,Cyclone,7447,3.49,65,104,57,61.58,High
High,29,Lightning,8865,1.57,89,184,78,86.58,Critical
High,30,Earthquake,9293,1.2,92,163,96,90.32,Critical
High,27,Landslide,8776,2.06,84,142,80,82.53,Severe
High,15,Forest Fire,5716,3.7,69,91,69,60.96,High
High,29,Lightning,9948,0.81,97,143,84,84.49,Critical
Low,9,Forest Fire,1961,7.68,23,11,17,23.03,Moderate
Medium,20,Medical Emergency,6371,2.5,46,44,59,51.62,High
High,22,Flood,8598,2.07,83,92,57,71.2,Severe
Medium,12,Landslide,4220,4.78,50,16,38,41.52,Medium
Medium,5,Heatwave,1380,5.99,38,31,20,28.49,Moderate
High,25,Lightning,7628,2.97,67,146,67,75.38,Severe
High,10,Cyclone,4815,2.79,50,68,51,56.28,High
High,20,Earthquake,5776,4.14,45,90,42,57.85,High
High,22,Flood,7061,0.53,81,99,63,71.41,Severe
Medium,6,Flood,4117,4.6,48,21,30,37.28,Medium
Low,9,Landslide,1146,4.47,24,15,21,31.43,Moderate
Low,5,Heatwave,1835,9.58,11,14,8,15.19,Low
Medium,14,Cyclone,4508,5.13,52,22,40,46.07,Medium
Medium,10,Urban Fire,3278,6.85,33,9,13,30.36,Moderate
High,24,Heatwave,9456,0.37,93,186,85,86.64,Critical
Medium,2,Heatwave,1908,5.07,25,5,34,30.56,Moderate
High,17,Heatwave,6064,2.38,89,154,61,72.07,Severe
Medium,12,Lightning,7192,3.61,65,59,42,51.53,High
High,25,Landslide,7544,3.69,88,128,90,79.88,Severe
High,28,Landslide,9665,0.71,86,136,95,85.33,Critical
Medium,9,Flood,4130,8.58,23,17,17,33.06,Moderate
Medium,9,Medical Emergency,1093,5.66,38,22,16,29.16,Moderate
Low,5,Flood,4409,8.1,15,15,32,27.96,Moderate
Medium,12,Urban Fire,5727,5.15,49,94,61,53.81,High
High,20,Earthquake,8521,1.67,76,90,57,73.51,Severe
High,27,Earthquake,6447,2.73,89,124,64,76.12,Severe
Medium,14,Lightning,4404,3.28,58,81,51,51.25,High
Low,0,Medical Emergency,1877,8.58,10,3,16,16.66,Low
Low,0,Urban Fire,1594,9.84,11,12,18,13.24,Low
Medium,16,Flood,6481,3.0,54,113,63,62.43,High
High,30,Medical Emergency,8605,0.28,83,166,83,86.12,Critical
Medium,6,Lightning,2862,3.03,50,32,46,39.47,Medium
Medium,15,Flood,6365,5.5,54,41,66,53.05,High
High,29,Medical Emergency,8355,1.0,100,199,95,85.08,Critical
High,25,Landslide,9154,0.79,89,169,100,87.61,Critical
High,17,Medical Emergency,9074,2.28,82,129,80,72.63,Severe
Low,6,Medical Emergency,1337,4.63,17,32,35,24.51,Moderate
Low,7,Heatwave,2921,6.68,37,34,25,32.0,Moderate
High,30,Earthquake,9645,1.25,90,150,77,87.41,Critical
Low,3,Landslide,2912,8.45,18,21,34,24.9,Moderate
High,16,Flood,4453,2.52,58,101,39,59.14,High
High,26,Forest Fire,9792,0.66,95,192,95,90.03,Critical
Medium,13,Forest Fire,4312,4.55,59,40,36,45.35,Medium
Medium,9,Heatwave,4405,6.99,32,10,12,32.64,Moderate
High,29,Urban Fire,8446,0.88,98,140,78,86.7,Critical
High,30,Cyclone,9913,1.41,81,163,98,89.51,Critical
Low,0,Medical Emergency,1462,8.52,5,10,20,11.13,Low
Low,5,Cyclone,2881,5.94,31,8,10,26.51,Moderate
Low,8,Cyclone,2105,8.75,22,28,31,29.5,Moderate
High,25,Forest Fire,8027,1.52,77,87,76,71.94,Severe
Low,9,Flood,1380,8.06,37,19,13,26.34,Moderate
Medium,8,Urban Fire,5012,5.76,60,48,54,46.86,Medium
Medium,2,Lightning,1321,7.9,39,15,21,29.16,Moderate
High,15,Flood,4503,5.39,59,93,35,53.67,High
Medium,7,Lightning,2660,6.93,31,5,33,32.44,Moderate
High,21,Medical Emergency,5940,3.07,57,114,37,59.28,High
Medium,11,Flood,3466,3.45,53,47,27,45.45,Medium
Medium,11,Cyclone,2664,6.97,53,64,52,41.12,Medium
High,29,Flood,9821,0.16,96,162,88,88.93,Critical
Low,0,Earthquake,1271,9.47,11,13,8,16.66,Low
Medium,5,Cyclone,4787,5.59,50,29,25,42.91,Medium
High,10,Landslide,5790,2.72,45,107,55,57.22,High
Low,0,Urban Fire,981,7.5,14,10,5,16.2,Low
High,30,Earthquake,8357,1.35,91,173,84,89.58,Critical
High,19,Lightning,4208,3.34,48,120,62,63.38,High
Medium,6,Medical Emergency,4429,5.95,59,68,41,42.77,Medium
Medium,8,Lightning,3403,3.29,48,46,23,43.94,Medium
Low,1,Urban Fire,1126,9.19,3,0,4,10.28,Low
Medium,5,Earthquake,4068,4.46,49,17,43,41.41,Medium
Low,3,Heatwave,915,10.0,15,3,7,13.31,Low
High,27,Flood,9869,0.56,95,156,78,84.26,Critical
Medium,15,Landslide,6302,4.51,64,66,69,55.16,High
High,24,Landslide,7265,2.26,87,95,72,77.05,Severe
High,15,Urban Fire,4187,5.83,73,96,52,58.23,High
Medium,7,Flood,4490,5.94,30,9,15,32.65,Moderate
Low,2,Heatwave,1390,9.7,12,10,10,14.44,Low
Low,2,Urban Fire,755,9.81,4,14,1,11.15,Low
High,28,Cyclone,9151,1.57,88,170,83,85.39,Critical
Medium,7,Cyclone,2112,6.07,30,33,17,33.15,Moderate
Medium,10,Landslide,4353,4.94,46,68,27,44.34,Medium
Low,2,Forest Fire,3168,5.52,30,17,33,26.05,Moderate
Medium,4,Landslide,3524,8.11,40,19,29,30.42,Moderate
High,29,Heatwave,9880,0.31,83,186,98,87.69,Critical
High,26,Urban Fire,8801,2.63,84,137,65,78.84,Severe
Medium,8,Landslide,4887,5.74,44,20,20,38.79,Medium
High,30,Lightning,8234,0.47,95,145,81,87.4,Critical
High,27,Urban Fire,9335,0.66,95,185,86,90.67,Critical
Medium,9,Heatwave,2694,4.19,48,40,34,40.77,Medium
High,26,Earthquake,8682,1.23,89,191,92,87.41,Critical
Low,0,Flood,2031,9.7,13,2,2,13.83,Low
High,27,Earthquake,9834,1.94,84,195,95,88.86,Critical
High,29,Urban Fire,9190,1.63,89,183,76,84.15,Critical
Medium,9,Heatwave,5146,3.64,51,53,35,44.5,Medium
High,17,Lightning,7444,1.62,78,141,81,73.55,Severe
High,17,Lightning,7558,4.63,68,117,66,63.9,High
High,29,Landslide,9556,0.54,87,143,98,89.1,Critical
High,27,Lightning,8434,0.39,96,185,86,85.79,Critical
High,22,Flood,7388,1.52,84,135,57,77.6,Severe
Medium,3,Medical Emergency,2332,6.78,29,10,19,28.87,Moderate
High,20,Medical Emergency,4276,3.34,64,114,63,60.64,High
Medium,5,Forest Fire,3155,7.28,33,25,40,31.32,Moderate
Medium,6,Flood,1481,8.49,21,5,29,28.4,Moderate
Medium,5,Heatwave,5290,6.93,33,40,43,36.86,Medium
High,25,Lightning,9696,0.2,98,184,74,89.43,Critical
Low,8,Lightning,2496,5.74,25,16,29,29.23,Moderate
High,24,Medical Emergency,6391,2.35,87,153,73,74.36,Severe
High,24,Urban Fire,8987,0.43,92,131,91,85.2,Critical
Medium,6,Flood,3006,4.4,36,70,38,39.15,Medium
High,16,Forest Fire,7166,0.64,77,133,76,75.18,Severe
